Datetime,MultiplierSum,SignalSum
2023-01-30 14:30:00-05:00,-107.0,-24.0
2023-01-30 15:30:00-05:00,-113.0,-22.0
2023-01-31 09:30:00-05:00,-55.0,-6.0
2023-01-31 10:30:00-05:00,-13.0,4.0
2023-01-31 11:30:00-05:00,-7.0,0.0
2023-01-31 12:30:00-05:00,-3.0,-1.0
2023-01-31 13:30:00-05:00,-7.0,-2.0
2023-01-31 14:30:00-05:00,15.0,-1.0
2023-01-31 15:30:00-05:00,29.0,8.0
2023-02-01 09:30:00-05:00,25.0,6.0
2023-02-01 10:30:00-05:00,22.0,2.0
2023-02-01 11:30:00-05:00,9.0,2.0
2023-02-01 12:30:00-05:00,17.0,4.0
2023-02-01 13:30:00-05:00,25.0,5.0
2023-02-01 14:30:00-05:00,67.0,16.0
2023-02-01 15:30:00-05:00,56.0,7.0
2023-02-02 09:30:00-05:00,68.0,14.0
2023-02-02 10:30:00-05:00,65.0,16.0
2023-02-02 11:30:00-05:00,66.0,13.0
2023-02-02 12:30:00-05:00,53.0,15.0
2023-02-02 13:30:00-05:00,27.0,-4.0
2023-02-02 14:30:00-05:00,-14.0,-3.0
2023-02-02 15:30:00-05:00,20.0,8.0
2023-02-03 09:30:00-05:00,-1.0,-5.0
2023-02-03 10:30:00-05:00,21.0,6.0
2023-02-03 11:30:00-05:00,14.0,1.0
2023-02-03 12:30:00-05:00,-33.0,-12.0
